season,raceName,url,weather
2021,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix,"Clear, 21 °C (70 °F)"
2021,Emilia Romagna Grand Prix,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix,"Wet at start, drying during race, 9 °C (48 °F)"
2021,Portuguese Grand Prix,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix,Light cloud
2021,Spanish Grand Prix,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix,Cloudy
2021,Monaco Grand Prix,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix,Sunny
2001,Australian Grand Prix,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix,"Cloudy, sunny later"
2001,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix,"Rain and Thunderstorms at start, dry later; Air Temp at start: 32 °C (90 °F)"
2001,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix,"Dry first, rain and thunderstorms later"
2001,San Marino Grand Prix,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix,"Sunny. Air Temp: 14 °C (57 °F), Track 26 °C (79 °F)"
2001,Spanish Grand Prix,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix,"Overcast, Mild, Dry, Air Temp: 18°C"
2017,Australian Grand Prix,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix,Partly cloudy24 °C (75 °F) air temperature31–36 °C (88–97 °F) track temperature2 m/s (4.5 mph; 7.2 km/h) wind from the northwest[3]
2017,Chinese Grand Prix,http://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix,"Light rain at start, drying later."
2017,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix,Clear
2017,Russian Grand Prix,http://en.wikipedia.org/wiki/2017_Russian_Grand_Prix,Sunny
2017,Spanish Grand Prix,http://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix,Sunny
2002,Australian Grand Prix,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,"Cloudy at start, clearing to sunny skies."
2002,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix,"Partially cloudy, hot, and dry"
2002,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix,"Clear, Air Temp: 30°C"
2002,San Marino Grand Prix,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix,"Scattered thunderstorms, but remaining dry. Air Temp: 18°C"
2002,Spanish Grand Prix,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix,"Clear, Air Temp: 20°C"
2014,Australian Grand Prix,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,"Overcast, 19 °C(66 °F)"
2014,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix,"Dry, 32°C"
2014,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,Dry
2014,Chinese Grand Prix,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix,"Mostly cloudy, dry"
2014,Spanish Grand Prix,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix,Sunny
2022,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,Clear
2022,Saudi Arabian Grand Prix,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,Clear
2022,Australian Grand Prix,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,Partly cloudy
2022,Emilia Romagna Grand Prix,http://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix,Cloudy in a wet and drying track[2]
2022,Miami Grand Prix,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,"Warm, partly cloudy"
2018,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,Sunny
2018,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,Clear
2018,Chinese Grand Prix,http://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix,Sunny
2018,Azerbaijan Grand Prix,http://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix,Cloudy
2018,Spanish Grand Prix,http://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix,"Partially cloudy and dry, 16°C and cold."
2019,Australian Grand Prix,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,Sunny
2019,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,Clear
2019,Chinese Grand Prix,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,Partly cloudy
2019,Azerbaijan Grand Prix,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,Mostly sunny
2019,Spanish Grand Prix,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,Sunny
2023,Bahrain Grand Prix,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix,Clear
2023,Saudi Arabian Grand Prix,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix,Clear
2023,Australian Grand Prix,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix,Sunny
2023,Azerbaijan Grand Prix,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix,Partly cloudy
2023,Miami Grand Prix,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix,Partly cloudy
2015,Australian Grand Prix,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix,Partly cloudy17–18 °C (63–64 °F) air temperature32–37 °C (90–99 °F) track temperature6 m/s (20 ft/s) wind from the south[3]
2015,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix,Sunny32–33 °C (90–91 °F) air temperature53–58 °C (127–136 °F) track temperature2 m/s (6.6 ft/s) wind from the south[3]
2015,Chinese Grand Prix,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix,Sunny21 °C (70 °F) air temperature46 °C (115 °F) track temperature1.4 m/s (4.6 ft/s) wind from the northwest[1]
2015,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix,"Sunny, clear24–26 °C (75–79 °F) air temperature28–31 °C (82–88 °F) track temperature1.5 m/s (4.9 ft/s) wind from the north[1]"
2015,Spanish Grand Prix,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix,Sunny25 °C (77 °F) air temperature44 °C (111 °F) track temperature1.8 m/s (5.9 ft/s) wind from the northeast[3]
2015,Monaco Grand Prix,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix,Partly cloudy18–19 °C (64–66 °F) air temperature31–37 °C (88–99 °F) track temperature1.5 m/s (4.9 ft/s) wind from the west[2]
2003,Australian Grand Prix,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,"Damp at beginning, dry later, cloudy, mild"
2003,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix,"Fine, air temperature 34°C (93°F)"
2003,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix,Rainy: 20 °C (68 °F)
2003,San Marino Grand Prix,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.
2003,Spanish Grand Prix,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix,Clear
2008,Australian Grand Prix,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,"Clear, dry, air temperature of 39 °C (102 °F)."
2008,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,"Sunny, partly cloudy"
2008,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,Dry
2008,Spanish Grand Prix,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,Sunny
2008,Turkish Grand Prix,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,Sunny with temperatures reaching up to 17 °C (63 °F)[3]
2004,Australian Grand Prix,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,Dry and cloudyAir temperature 20 °C (68 °F)
2004,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix,"Dry, light rain at the startAir Temp 34 °C (93 °F)"
2004,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix,"Warm, dry and overcast"
2004,San Marino Grand Prix,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix,"Clear, air temp: 22°C"
2004,Spanish Grand Prix,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix,Clear
2012,Australian Grand Prix,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix,"Fine[1]
Air Temp 22 °C (72 °F)[1]

Track Temp 30 °C (86 °F) dropping to 22 °C (72 °F)[1]"
2012,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix,"Heavy rain clearing to cloudy and dry[2]
Air Temp 26 °C (79 °F)[2]

 Track Temp 29 °C (84 °F) dropping to 24 °C (75 °F) [2]"
2012,Chinese Grand Prix,http://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix,"Overcast but Dry[1]
Air Temp 22 °C (72 °F)[1]

Track Temp 23 °C (73 °F)[1]"
2012,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix,"Sunny and hot[1][2]
Air Temp 27 °C (81 °F)[2]

Track Temp 33 °C (91 °F) dropping to 29 °C (84 °F)[2]"
2012,Spanish Grand Prix,http://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix,"Partially cloudy, dry: Air 23 °C (73 °F), Track 36 °C (97 °F)"
2013,Australian Grand Prix,http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix,"Scattered Clouds, Fine and Dry[2]
Air Temp 18 °C (64 °F)[2]

Track Temp 25 °C (77 °F) dropping to 19 °C (66 °F)[2]"
2013,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2013_Malaysian_Grand_Prix,Light rain clearing to cloudy and dry
2013,Chinese Grand Prix,http://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix,Cloudy
2013,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix,Sunny
2013,Spanish Grand Prix,http://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix,Sunny
2005,Australian Grand Prix,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,"Cool, partly cloudy"
2005,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix,"Fine, Air: 34–36 °C (93–97 °F) and Track: 44–50 °C (111–122 °F)"
2005,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix,"Sunny, 42 °C (108 °F)[1]"
2005,San Marino Grand Prix,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix,Warm and cloudy
2005,Spanish Grand Prix,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix,"Sunny, warm"
2005,Monaco Grand Prix,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix,Fine
2009,Australian Grand Prix,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,Sunny with temperatures reaching up to 27 °C (81 °F)[2]
2009,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,"Dry start, with heavy rain and thunderstorm/monsoon later"
2009,Chinese Grand Prix,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,Rain
2009,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,Sunny
2009,Spanish Grand Prix,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix,"Warm, Sunny"
